event_starttime,event_peaktime,event_endtime,fl_goescls,ar_noaanum,peak_time_hour,date,lofar_data
74,2018-04-21T18:44:00,2018-04-21T18:51:00,2018-04-21T19:04:00,B1.8,12706,18,2018-04-21,yes
75,2018-05-25T14:04:00,2018-05-25T14:42:00,2018-05-25T14:52:00,B1.2,12712,14,2018-05-25,yes
76,2018-05-27T09:39:00,2018-05-27T09:44:00,2018-05-27T09:48:00,B1.1,12712,9,2018-05-27,yes
77,2018-05-27T17:44:00,2018-05-27T17:48:00,2018-05-27T17:51:00,B1.1,12712,17,2018-05-27,yes
78,2018-05-27T18:49:00,2018-05-27T18:52:00,2018-05-27T18:56:00,B1.1,12712,18,2018-05-27,yes
79,2018-06-02T18:22:00,2018-06-02T18:41:00,2018-06-02T18:46:00,B2.8,12712,18,2018-06-02,yes
80,2018-06-03T17:47:00,2018-06-03T17:52:00,2018-06-03T17:57:00,B1.6,12712,17,2018-06-03,yes
81,2018-06-15T09:45:00,2018-06-15T09:48:00,2018-06-15T09:50:00,B1.0,12713,9,2018-06-15,yes
82,2018-06-17T13:12:00,2018-06-17T14:29:00,2018-06-17T15:02:00,B1.2,12713,14,2018-06-17,yes
83,2018-07-28T13:21:00,2018-07-28T13:40:00,2018-07-28T13:52:00,A5.5,0,13,2018-07-28,yes
84,2018-10-13T13:28:00,2018-10-13T13:34:00,2018-10-13T13:42:00,B2.3,12724,13,2018-10-13,yes
85,2018-12-11T08:54:00,2018-12-11T09:00:00,2018-12-11T09:04:00,A3.1,0,9,2018-12-11,yes
86,2019-01-29T10:21:00,2019-01-29T10:34:00,2019-01-29T10:40:00,C1.9,12733,10,2019-01-29,yes
87,2019-01-29T15:03:00,2019-01-29T15:22:00,2019-01-29T15:36:00,B3.5,12733,15,2019-01-29,yes
88,2019-02-18T16:00:00,2019-02-18T16:04:00,2019-02-18T16:05:00,A1.4,0,16,2019-02-18,yes
89,2019-05-15T16:42:00,2019-05-15T16:56:00,2019-05-15T17:03:00,B2.0,12741,16,2019-05-15,yes
90,2019-06-06T12:20:00,2019-06-06T12:21:00,2019-06-06T12:22:00,A1.1,0,12,2019-06-06,yes
